Cr#,Yr#,Gm#,Date,Tm,Opp,Pitcher,Score,StSc,InnSc,Rslt,BOP,Pos,Event,SH?,Inn,RoB,Out,Pit(cnt),RBI,WPA,RE24,LI,Play Description
1,1,1,9/25/2016,COL,@LAD,Joe Blanton,tied 3-3,0,0,L 3-4,8,11,SO,F,t10,1--,0,3(0-2),0,-0.08,-0.35,3.45,Strikeout (foul bunt)
2,2,1,7/5/2017,COL,CIN,Scott Feldman,tied 0-0,0,0,W 5-3,2,7,Out/SH,T,b1,1--,0,3(1-1),0,-0.02,-0.25,1.33,Bunt Groundout: P-1B/Sacrifice (Front of Home); Blackmon to 2B
3,3,1,7/25/2018,COL,HOU,Tony Sipp,down 2-1,-1,0,W 3-2,9,11,Out,F,b7,1--,0,1(0-0),0,-0.07,-0.38,2.95,Bunt Groundout: 3B-SS/Forceout at 2B (Front of Home)
4,4,1,9/12/2020,COL,LAA,Ty Buttrey,tied 2-2,0,0,L 2-5,1,7,Out/SH,T,b10,-2-,0,3(1-1),0,0.01,-0.23,2.4,Bunt Groundout: 3B-1B/Sacrifice (Front of Home); Díaz to 3B
5,5,1,7/6/2021,COL,@ARI,Joe Mantiply,down 3-2,-1,0,L 3-4,1,7,Out/SH,T,t7,12-,0,1(0-0),0,-0.01,-0.09,3.55,Bunt Groundout: P-1B/Sacrifice (Front of Home); Díaz to 3B; Hampson to 2B
6,6,1,4/9/2022,TOR,TEX,Matt Bush,ahead 3-4,1,1,W 4-3,8,7,Out/SH,T,b8,1--,0,1(0-0),0,-0.01,-0.19,0.78,Bunt Groundout: P-1B/Sacrifice (Front of Home); Katoh to 2B
7,7,1,6/21/2022,TOR,@CHW,Davis Martin,down 2-1,-1,2,L 6-7,9,8,Out/SH,T,t8,12-,0,3(1-1),0,0,-0.08,4.34,Bunt Groundout: P-2B/Sacrifice (Front of Home); Chapman to 3B; Gurriel to 2B
8,8,1,2022-07-02 (2),TOR,TBR,Drew Rasmussen,down 3-0,-3,-2,L 5-11,6,7,Out/SH,T,b2,12-,0,1(0-0),0,-0.01,-0.08,2.14,Bunt Groundout: P-1B/Sacrifice (Front of Home); Kirk to 3B; Hernández to 2B
