Cr#,Yr#,Gm#,Date,Tm,Opp,Pitcher,Score,StSc,InnSc,Rslt,BOP,Pos,Event,SH?,Inn,RoB,Out,Pit(cnt),RBI,WPA,RE24,LI,Play Description
1,1,1,8/16/2015,CLE,@MIN,Tommy Milone,tied 0-0,0,1,L 1-4,6,5,Out/SH,T,t2,-2-,0,2(0-1),0,-0.01,-0.17,1.31,Bunt Groundout: C-1B/Sacrifice (Short 3B Line); Raburn to 3B
2,2,1,8/1/2017,CLE,@BOS,Blaine Boyer,ahead 5-7,2,2,L 10-12,9,5,FC/SH,T,t6,12-,0,1(0-0),0,0.05,0.83,1.26,Fielder's Choice P/Sacrifice Bunt; Jackson to 3B; Gomes to 2B
3,3,1,9/13/2021,NYY,MIN,Ralph Garza,tied 5-5,0,1,W 6-5,8,6,SO,F,b10,-2-,0,3(0-2),0,-0.11,-0.45,2.55,Strikeout (foul bunt)
