Cr#,Yr#,Gm#,Date,Tm,Opp,Pitcher,Score,StSc,InnSc,Rslt,BOP,Pos,Event,SH?,Inn,RoB,Out,Pit(cnt),RBI,WPA,RE24,LI,Play Description
1,1,1,5/11/2018,NYY,OAK,Ryan Dull,down 6-4,-2,-1,L 5-10,9,4,Out/SH,T,b7,12-,0,1(0-0),0,-0.02,-0.09,3.66,Bunt Groundout: P-1B/Sacrifice (Short 1B Line); Andújar to 3B; Romine to 2B
2,2,1,4/26/2019,NYY,@SFG,Madison Bumgarner,ahead 1-2,1,2,W 7-3,3,6,Out/SH,T,t3,1--,0,1(0-0),0,-0.02,-0.21,1.39,Bunt Groundout: 1B unassisted/Sacrifice (Short 1B Line); Voit to 2B
3,3,1,6/3/2021,NYY,TBR,Ryan Yarbrough,tied 0-0,0,0,L 2-9,2,6,Out/SH,T,b1,1--,0,1(0-0),0,-0.02,-0.21,1.4,Bunt Groundout: 1B-P/Sacrifice (Weak 2B-1B); LeMahieu to 2B
4,4,1,7/21/2021,NYY,PHI,Ranger Suárez,tied 5-5,0,1,W 6-5,5,6,Out/SH,T,b10,-2-,0,3(1-1),0,0.02,-0.19,2.55,Bunt Groundout: P-2B/Sacrifice (Short 1B Line); Sanchez to 3B
5,5,1,4/17/2022,NYY,@BAL,Bruce Zimmermann,tied 0-0,0,0,L 0-5,6,4,Out/SH,T,t4,1--,0,1(0-0),0,-0.02,-0.2,1.78,Bunt Groundout: P-1B/Sacrifice (Front of Home); LeMahieu to 2B
6,6,1,4/20/2022,NYY,@DET,Drew Hutchison,tied 3-3,0,1,W 5-3,7,4,FC,F,t7,1--,0,2(0-1),0,0.16,0.97,2.48,Fielder's Choice P; Locastro to 3B/Adv on E1 (throw); Torres to 1B
