Cr#,Yr#,Gm#,Date,Tm,Opp,Pitcher,Score,StSc,InnSc,Rslt,BOP,Pos,Event,SH?,Inn,RoB,Out,Pit(cnt),RBI,WPA,RE24,LI,Play Description
1,1,1,4/18/2021,TEX,BAL,Travis Lakins Sr.,tied 0-0,0,1,W 1-0,8,8,FC,F,b10,-2-,0,2(1-0),0,-0.18,-0.61,2.55,Fielder's Choice ; Culberson out at 3B/P-3B; White to 1B
2,2,1,4/29/2021,TEX,BOS,Martín Pérez,ahead 0-1,1,1,W 4-1,9,8,Out,F,b5,12-,0,1(0-0),0,-0.05,-0.59,1.58,Foul Bunt Popfly: 3B (3B-C into Foul Terr.)
3,3,1,6/9/2021,TEX,SFG,Jake McGee,tied 3-3,0,1,W 4-3,8,9,Out,F,b11,-2-,0,1(0-0),0,-0.11,-0.45,2.55,Foul Bunt Popfly: 3B (3B-C into Foul Terr.)
4,4,1,7/21/2021,TEX,@DET,Matt Manning,tied 1-1,0,0,L 2-4,7,8,Out,F,t2,-2-,1,1(0-0),0,-0.04,-0.36,1.29,Bunt Popfly: P (Front of Home)
5,5,1,5/3/2022,TEX,@PHI,Ranger Suárez,tied 3-3,0,0,W 6-4,9,8,1B,F,t5,1--,0,1(0-0),0,0.07,0.61,1.94,Single to 3B (Bunt to Short 3B Line); Culberson to 2B
6,6,1,5/20/2022,TEX,@HOU,Rafael Montero,ahead 0-1,1,3,W 3-0,9,7,FC,F,t8,12-,0,2(0-1),0,0.11,1.5,1.58,Fielder's Choice P; Garver Scores/Adv on E1 (throw)/No RBI/unER; Lowe to 3B; White to 2B
7,7,1,5/29/2022,TEX,@OAK,Domingo Acevedo,ahead 3-4,1,1,L 5-6,9,8,FC,F,t7,3-Jan,0,2(0-1),0,-0.09,-0.93,1.35,Fielder's Choice ; Ibáñez out at Hm/1B-C; Culberson to 2B; White to 1B
8,8,1,5/30/2022,TEX,TBR,Ryan Thompson,ahead 2-5,3,7,W 9-5,9,8,1B,F,b6,1--,0,1(0-0),0,0.02,0.6,0.44,Single to P (Bunt to Short 3B Line); Smith to 2B
9,9,1,6/11/2022,TEX,@CHW,Lucas Giolito,down 5-0,-5,-1,W 11-9,9,8,1B,F,t5,1--,0,2(0-1),0,0.04,0.61,0.82,Single to 3B (Bunt to Short 3B Line); Miller to 2B
