Cr#,Yr#,Gm#,Date,Tm,Opp,Pitcher,Score,StSc,InnSc,Rslt,BOP,Pos,Event,SH?,Inn,RoB,Out,Pit(cnt),RBI,WPA,RE24,LI,Play Description
1,1,1,4/25/2021,BAL,OAK,Jesús Luzardo,ahead 1-3,2,2,W 8-1,8,4,FC,F,b7,-2-,0,3(1-1),0,-0.03,-0.61,0.51,Fielder's Choice ; Galvis out at 3B/1B-3B; Urías to 1B
2,2,1,5/20/2022,BAL,TBR,Ralph Garza,tied 6-6,0,2,W 8-6,7,5,Out/SH,T,b13,-2-,0,1(0-0),0,0.02,-0.17,2.61,Bunt Groundout: 1B-2B/Sacrifice (Short 1B Line); Nevin to 3B
3,3,1,8/5/2022,BAL,PIT,Yohan Ramirez,ahead 0-1,1,1,W 1-0,6,5,Out/SH,T,b8,12-,0,1(0-0),0,0,-0.08,0.9,Bunt Groundout: P-1B/Sacrifice; Mountcastle to 3B; Vavra to 2B
4,4,1,9/2/2022,BAL,OAK,Domingo Acevedo,tied 2-2,0,3,W 5-2,4,5,Out/SH,T,b8,12-,0,1(0-0),0,0.02,-0.08,2.95,Bunt Groundout: C-2B/Sacrifice; Santander to 3B; Mountcastle to 2B
