Cr#,Yr#,Gm#,Date,Tm,Opp,Pitcher,Score,StSc,InnSc,Rslt,BOP,Pos,Event,SH?,Inn,RoB,Out,Pit(cnt),RBI,WPA,RE24,LI,Play Description
1,1,1,6/18/2022,PHI,@WSN,Reed Garrett,ahead 0-1,1,1,W 2-1,7,4,Out,F,t9,1--,0,1(0-0),0,-0.02,-0.34,0.94,Bunt Popfly: 2B/Forceout at 2B; Stott to 1B
2,2,1,9/21/2022,PHI,TOR,Adam Cimber,tied 3-3,0,1,W 4-3,6,6,Out/SH,T,b10,-2-,0,3(1-1),0,0.02,-0.18,2.59,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Munoz to 3B
