Yr#,Gm#,Date,Batter,Tm,Opp,Pitcher,Score,StSc,InnSc,BOP,Pos,Event,Inn,RoB,Out,Pit(cnt),RBI,WPA,RE24,LI,Play Description
33,1,6/21/2019,Yolmer Sanchez,CHW,@TEX,Shawn Kelley,tied 4-4,0,1,7,4,Out,t10,3-Jan,1,2(0-1),1,0.12,0.08,4.78,Bunt Groundout: P unassisted/Sacrifice (Short 1B Line); Jiménez Scores; Anderson to 2B
34,1,6/29/2019,Nicky Lopez,KCR,@TOR,Daniel Hudson,down 5-4,-1,0,2,4,Out,t9,12-,0,2(1-0),0,0,-0.1,5.33,Bunt Groundout: P-2B/Sacrifice; Hamilton to 3B; Merrifield to 2B
35,1,8/9/2019,Mike Brosseau,TBR,@SEA,Anthony Bass,tied 2-2,0,3,8,4,Out,t9,12-,0,2(1-0),0,0.02,-0.09,3.69,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Sogard to 3B; Kiermaier to 2B
36,1,8/21/2019,Joe Panik,NYM,CLE,Brad Hand,down 3-2,-1,1,2,4,Out,b10,-2-,0,1(0-0),0,-0.03,-0.18,4.36,Bunt Groundout: 3B-2B/Sacrifice; Rosario to 3B
37,1,9/6/2019,Hanser Alberto,BAL,TEX,José Leclerc,down 7-6,-1,-1,1,4,Out,b9,12-,0,1(0-0),0,0.02,-0.11,5.98,Bunt Groundout: 3B-1B/Sacrifice (Short 3B Line); Stewart to 3B; Ruiz to 2B
38,1,9/17/2019,Yolmer Sanchez,CHW,@MIN,Zack Littell,tied 5-5,0,0,7,4,Out,t10,12-,0,1(0-0),0,0.02,-0.1,3.64,Bunt Groundout: 3B-1B/Sacrifice (Short 3B Line); Moncada to 3B; McCann to 2B
39,1,8/7/2020,Tony Kemp,OAK,HOU,Enoli Paredes,tied 1-1,0,0,9,4,Out,b10,-2-,0,1(0-0),0,0.02,-0.19,2.57,Bunt Groundout: P-2B/Sacrifice (Front of Home); Barreto to 3B
40,1,8/31/2020,Hanser Alberto,BAL,@TOR,A.J. Cole,tied 2-2,0,0,1,4,Out,t10,-2-,0,1(0-0),0,-0.02,-0.19,3.94,Bunt Groundout: P-2B/Sacrifice; Williams to 3B
41,1,9/4/2020,Luis Rengifo,LAA,HOU,Brooks Raley,tied 5-5,0,0,8,4,Out,b10,-2-,0,1(0-0),0,0.02,-0.2,2.53,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Adell to 3B
42,1,9/25/2020,Jon Berti,MIA,@NYY,Chad Green,tied 3-3,0,1,1,4,Out,t10,-2-,0,3(2-0),0,-0.02,-0.19,3.94,Bunt Groundout: 1B unassisted/Sacrifice (Short 1B Line); Harrison to 3B
43,1,4/22/2021,David Bote,CHC,NYM,Edwin Díaz,tied 3-3,0,1,7,4,Out,b10,12-,0,4(2-1),0,0.03,-0.09,3.25,Bunt Groundout: 1B-2B/Sacrifice (Front of Home); Báez to 3B; Duffy to 2B
44,1,4/29/2021,Pat Valaika,BAL,NYY,Jonathan Loáisiga,tied 3-3,0,1,9,4,Out,b10,-2-,0,2(0-1),0,0.02,-0.19,2.54,Bunt Groundout: C-2B/Sacrifice; Urías to 3B
45,1,7/17/2021,Jean Segura,PHI,MIA,Yimi García,tied 2-2,0,2,1,4,Out,b10,-2-,0,2(0-1),0,0.02,-0.18,2.57,Bunt Groundout: P-2B/Sacrifice (Front of Home); Jankowski to 3B
46,1,9/26/2021,Tommy Edman,STL,@CHC,Codi Heuer,tied 2-2,0,2,1,4,Out,t9,12-,0,3(1-1),0,0.02,-0.09,3.71,Bunt Groundout: P-2B/Sacrifice; Knizner to 3B; Nootbaar to 2B
47,1,5/9/2022,Leury Garcia,CHW,CLE,Emmanuel Clase,tied 9-9,0,0,9,4,Out,b10,12-,0,1(0-0),0,0.03,-0.08,3.29,Bunt Groundout: P-2B/Sacrifice; Pollock to 3B; McGuire to 2B
48,1,6/22/2022,Andrés Giménez,CLE,@MIN,Griffin Jax,tied 10-10,0,1,6,4,Out,t9,-2-,0,1(0-0),0,0,-0.16,2.69,Bunt Groundout: 3B-1B/Sacrifice (Front of Home); Gonzalez to 3B
49,1,7/30/2022,Josh Harrison,CHW,OAK,Zach Jackson,tied 2-2,0,1,9,4,Out,b9,-2-,0,2(1-0),0,0.02,-0.18,2.6,Bunt Groundout: C-2B/Sacrifice; Engel to 3B
50,1,8/13/2022,David Fletcher,LAA,MIN,Emilio Pagán,tied 3-3,0,0,1,4,Out,b10,-2-,0,2(1-0),0,0.02,-0.17,2.61,Bunt Groundout: 3B-2B/Sacrifice; Sierra to 3B
51,1,8/27/2022,Nick Gordon,MIN,SFG,Dominic Leone,tied 2-2,0,1,5,4,Out,b10,-2-,0,1(0-0),0,0.02,-0.16,2.64,Bunt Groundout: P-2B/Sacrifice (Front of Home); Hamilton to 3B
52,1,9/15/2022,Michael Massey,KCR,@MIN,Jhoan Duran,down 3-2,-1,-1,5,4,Out,t9,12-,0,1(0-0),0,0.01,-0.08,5.57,Bunt Groundout: 3B-2B/Sacrifice; Eaton to 3B; Waters to 2B
