Yr#,Gm#,Date,Batter,Tm,Opp,Pitcher,Score,StSc,InnSc,BOP,Pos,Event,Inn,RoB,Out,Pit(cnt),RBI,WPA,RE24,LI,Play Description
27,1,7/23/2016,Jacoby Ellsbury,NYY,SFG,Santiago Casilla,tied 1-1,0,0,2,8,Out,b10,12-,0,1(0-0),0,0.03,-0.1,3.21,Bunt Groundout: P-2B/Sacrifice (P's Right); Hicks to 3B; Gardner to 2B
28,1,9/20/2016,Jake Marisnick,HOU,@OAK,Sean Doolittle,tied 1-1,0,1,9,8,Out,t10,-2-,0,1(0-0),0,0,-0.18,2.66,Bunt Groundout: P-2B/Sacrifice; Kemp to 3B
29,1,9/27/2016,Jarrod Dyson,KCR,MIN,Tommy Milone,tied 3-3,0,1,1,8,Out,b11,-2-,0,3(1-1),0,0.02,-0.19,2.55,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Mondesí to 3B
30,1,4/30/2017,Aaron Hicks,NYY,BAL,Logan Verrett,tied 4-4,0,0,2,8,Out,b10,12-,0,2(0-1),0,0.03,-0.1,3.16,Bunt Groundout: P-2B/Sacrifice (Short 1B Line); Romine to 3B; Gardner to 2B
31,1,8/4/2017,Adam Engel,CHW,@BOS,Craig Kimbrel,tied 2-2,0,0,8,8,Out,t9,12-,0,2(1-0),0,0.02,-0.11,3.63,Bunt Groundout: 3B-2B/Sacrifice (Weak 3B); Moncada to 3B; Delmonico to 2B
32,1,4/8/2018,Brett Gardner,NYY,BAL,Brad Brach,down 8-7,-1,-1,1,8,RoE,b12,12-,0,5(2-2),0,0.22,0.84,6.08,Reached on E1/Sacrifice Bunt (Bunt to P's Right); Romine to 3B; Gregorius to 2B
33,1,5/6/2018,Craig Gentry,BAL,@OAK,Blake Treinen,down 2-1,-1,-1,1,8,Out,t9,-2-,0,3(2-0),0,-0.04,-0.18,3.83,Bunt Groundout: 3B-2B/Sacrifice (Front of Home); Mancini to 3B
34,1,7/3/2018,Adam Engel,CHW,@CIN,Jackson Stephens,tied 8-8,0,4,8,8,RoE,t12,12-,0,3(1-1),0,0.14,0.85,3.73,Reached on E5 (throw)/Sacrifice Bunt (Bunt to Short 3B Line); Anderson to 3B; Davidson to 2B
35,1,8/21/2018,AJ Pollock,ARI,LAA,Cam Bedrosian,tied 4-4,0,1,1,8,FC,b9,12-,0,1(0-0),0,0.18,1,3.24,*WALK-OFF*:*ENDED GAME*:Fielder's Choice P/Sacrifice Bunt; Jay Scores/Adv on E1 (throw)/unER/No RBI; Murphy to 2B
36,1,4/21/2019,Jackie Bradley Jr.,BOS,@TBR,José Alvarado,tied 3-3,0,1,8,8,Out,t11,12-,0,3(2-0),0,0.02,-0.1,3.67,Bunt Groundout: P-2B/Sacrifice; Devers to 3B; Chavis to 2B
