Yr#,Gm#,Date,Batter,Tm,Opp,Pitcher,Score,StSc,InnSc,Rslt,BOP,Pos,Event,SH?,Inn,RoB,Out,Pit(cnt),RBI,WPA,RE24,LI,Play Description
55,1,8/31/2022,Kyle Farmer,CIN,STL,Andre Pallante,tied 2-2,0,0,L 3-5,3,5,Out/SH,T,b12,-2-,0,1(0-0),0,0.02,-0.2,2.52,Bunt Groundout: P-1B/Sacrifice (Front of Home); Romine to 3B
56,1,9/7/2022,Mauricio Dubón,HOU,TEX,Jonathan Hernández,tied 3-3,0,1,W 4-3,9,8,Out/SH,T,b10,-2-,0,3(1-1),0,0.02,-0.17,2.62,Bunt Groundout: P-2B/Sacrifice; Vázquez to 3B
57,1,9/16/2022,Willi Castro,DET,CHW,Liam Hendriks,tied 2-2,0,1,W 3-2,9,9,FC/SH,T,b10,-2-,0,2(1-0),0,0.13,0.73,2.65,Fielder's Choice /Sacrifice Bunt; Kreidler to 3B; Castro to 1B/Adv on E1 (throw)
58,1,9/17/2022,Ryan Kreidler,DET,CHW,Liam Hendriks,tied 2-2,0,0,L 3-4,7,6,Out/SH,T,b10,-2-,0,3(1-1),0,0.02,-0.16,2.65,Bunt Groundout: 3B-2B/Sacrifice (Weak 3B); Castro to 3B
59,1,2022-09-17 (2),Ernie Clement,CLE,MIN,Dereck Rodríguez,tied 6-6,0,1,W 7-6,8,5,Out/SH,T,b15,-2-,0,1(0-0),0,0.02,-0.16,2.64,Bunt Groundout: 3B-2B/Sacrifice (Weak 3B); Straw to 3B
60,1,2022-09-17 (2),Ben DeLuzio,STL,CIN,Alexis Díaz,tied 0-0,0,0,W 1-0,6,8,Out/SH,T,b10,-2-,0,1(0-0),0,0.02,-0.17,2.63,Bunt Groundout: P-2B/Sacrifice; Dickerson to 3B
61,1,9/21/2022,Bryson Stott,PHI,TOR,Adam Cimber,tied 3-3,0,1,W 4-3,6,6,Out/SH,T,b10,-2-,0,3(1-1),0,0.02,-0.18,2.59,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Munoz to 3B
62,1,9/27/2022,Tucker Barnhart,DET,KCR,Anthony Misiewicz,tied 3-3,0,1,W 4-3,8,2,Out/SH,T,b10,-2-,0,2(0-1),0,0.02,-0.16,2.65,Bunt Groundout: 3B-2B/Sacrifice (Front of Home); Kreidler to 3B
63,1,9/27/2022,Ha-Seong Kim,SDP,LAD,Craig Kimbrel,tied 3-3,0,1,W 4-3,1,6,Out/SH,T,b10,-2-,0,1(0-0),0,0.02,-0.16,2.66,Bunt Groundout: 1B-2B/Sacrifice; Azocar to 3B
64,1,9/28/2022,Victor Robles,WSN,ATL,Jackson Stephens,tied 2-2,0,1,W 3-2,8,8,Out/SH,T,b10,-2-,0,3(0-2),0,0.02,-0.16,2.64,Bunt Groundout: P-2B/Sacrifice (Front of Home); Call to 3B
65,1,10/2/2022,Hunter Renfroe,MIL,MIA,Huascar Brazoban,tied 3-3,0,0,L 3-4,4,9,Out/SH,T,b11,-2-,0,1(0-0),0,0.02,-0.17,2.61,Bunt Groundout: P unassisted/Sacrifice (Short 1B Line); Hiura to 3B
66,1,10/3/2022,Cristian Pache,OAK,LAA,Zack Weiss,tied 4-4,0,1,W 5-4,8,8,Out/SH,T,b10,-2-,0,3(2-0),0,0.02,-0.16,2.65,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Bride to 3B
67,1,10/4/2022,Tony Kemp,OAK,LAA,Ryan Tepera,tied 1-1,0,1,W 2-1,1,7,FC,F,b10,-2-,0,1(0-0),0,-0.18,-0.58,2.65,Fielder's Choice ; Allen out at 3B/P-3B; Kemp to 1B
